CODIGO;NOMBRE;INSTITUCION;DIRECCION;CODIGO_POSTAL;LOCALIDAD;PROVINCIA;COMUNIDAD_AUTONOMA;PAIS;TRANSPORTE;AÑO_FUNDACION;HORARIO;TIPO_ACCESO;NOTAS_ACCESO;TIPO_BIBLIOTECA;TIPO_DEPENDENCIA;PRESTAMO_INTERBIBLIOTECARIO;CATALOGOS_IMPRESOS;OBSERVACIONES
X41000101;Instituto Cervantes. Biblioteca (Londres, Reino Unido);Instituto Cervantes;15-19 Devereux Court;WC2R 3JJ;Londres;;;Reino Unido;;;;Acceso libre;;Especializada;Administración pública central
010040119;Hermanos Maristas (Artziniega, Álava). Biblioteca;Hermanos Maristas de Álava;La Encina s/n;01474;Artziniega;Álava;País Vasco;España;;1976;Martes de 16'45-17'30, sábados de 11'15-12'15, domingos de 19-20;Acceso restringido;;General/Pública;Entidad privada
010080160;Ikas Bidea Ikastola (Arrazua-Ubarrundia, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Iturribidea s/n. Durana;01520;Arrazua-Ubarrundia;Álava;País Vasco;España;;1976;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010090079;Biblioteca Pública Municipal (Asparrena, Álava);Ayuntamiento de Asparrena;Ilarduibide 5;01250;Asparrena;Álava;País Vasco;España;;1960;Lunes-viernes de 17'30-20'30. Verano: lunes-viernes de 11-14;Acceso libre;;General/Pública;Administración local municipal
010090161;Colegio Público Araia (Asparrena, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;San Juan 21;01250;Asparrena;Álava;País Vasco;España;;1964;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
010100120;Monasterio de San Juan Bautista (Ayala, Álava). Biblioteca;Monasterio de San Juan Bautista;Quejana;01478;Ayala/Aiara;Álava;País Vasco;España;;;;Acceso restringido;;Especializada;Iglesia
010130299;Biblioteca Pública Municipal  de Ozaeta (Barrundia, Álava);Ayuntamiento de Barrundia;Boilar 12;01206;Barrundia;Álava;País Vasco;España;;;Miércoles y Viernes de 17-20;Acceso libre;;General/Pública;Administración local municipal
010170034;Biblioteca Pública Municipal (Campezo, Álava);Ayuntamiento de Campezo;Ayuntamiento. Campezo;01110;Campezo/Kanpezu;Álava;País Vasco;España;;1967;;Acceso libre;;General/Pública;Administración local municipal
010190081;Biblioteca Pública Municipal (Kripan, Álava);Ayuntamiento de Kripan;San Martín 11;01308;Kripan;Álava;País Vasco;España;;1985;Lunes-viernes de 20-22;Acceso libre;;General/Pública;Administración local municipal
010220027;Biblioteca Pública Municipal (Elciego, Álava);Ayuntamiento de Elciego;Norte 26;01340;Elciego;Álava;País Vasco;España;;1989;Lunes-Viernes de 10-13:30 y de 17-20 Sábados de 10:30 a 13;Acceso libre;;General/Pública;Administración local municipal;Nacional
010220164;Colegio Público Comarcal (Elciego, Álava). Biblioteca;Gobierno Vasco. Departamento de Educación;Avda. Marqués de Riscal s/n;01340;Elciego;Álava;País Vasco;España;;1938;;Acceso restringido;para profesores y alumnos;Escolar;Administración autonómica
