FECHA;RANGO HORARIO;DIA SEMANA;DISTRITO;LUGAR ACCIDENTE;Nº;Nº PARTE;CPFA Granizo;CPFA Hielo;CPFA Lluvia;CPFA Niebla;CPFA Seco;CPFA Nieve;CPSV Mojada;CPSV Aceite;CPSV Barro;CPSV Grava Suelta;CPSV Hielo;CPSV Seca Y Limpia;Nº VICTIMAS *;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO;LESIVIDAD;Tramo Edad
16/12/2012;DE 10:00 A 10:59;DOMINGO;FUENCARRAL-EL PARDO           ;CARRETERA DE PARDO A FUENCARRAL - AVENIDA DEL MONASTERIO DE SILOS                                   ;0;2012/11415;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 50 A 54 AÑOS
17/12/2012;DE 18:00 A 18:59;LUNES;FUENCARRAL-EL PARDO           ;CALLE DE NUESTRA SEÑORA DE VALVERDE NUM                                                             ;71;2012/11473;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 40 A 44 AÑOS
17/12/2012;DE 21:00 A 21:59;LUNES;CENTRO                        ;CALLE DE HORTALEZA - CALLE DE LAS INFANTAS                                                          ;0;2012/11463;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 35 A 39 AÑOS
18/12/2012;DE 19:00 A 19:59;MARTES;FUENCARRAL-EL PARDO           ;CALLE DE JOAQUIN LORENZO - CALLE DE LA ISLA MALAITA                                                 ;0;2012/11493;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HG                                      ;DE 35 A 39 AÑOS
19/12/2012;DE 17:00 A 17:59;MIERCOLES;LATINA                        ;CALLE DE SAAVEDRA FAJARDO NUM                                                                       ;16;2012/11568;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;MUJER;HL                                      ;DE 21 A 24 AÑOS
20/12/2012;DE 00:00 A 00:59;JUEVES;ARGANZUELA                    ;AVENIDA DEL MANZANARES - CALLE DE SAN ZACARIAS                                                      ;0;2012/11543;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 15 A 17 AÑOS
20/12/2012;DE 11:00 A 11:59;JUEVES;SALAMANCA                     ;PASEO DE LA CASTELLANA - CALLE DE AYALA                                                             ;0;2012/11837;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 25 A 29 AÑOS
20/12/2012;DE 13:00 A 13:59;JUEVES;HORTALEZA                     ;AVENIDA DE NICETO ALCALA ZAMORA - CALLE DE MANUEL AZAÑA                                             ;0;2012/11791;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
22/12/2012;DE 16:00 A 16:59;SABADO;SAN BLAS                      ;AVENIDA DE ARCENTALES - PLAZA DE GRECIA                                                             ;0;2012/11699;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;CAÍDA BICICLETA                         ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 45 A 49 AÑOS
23/12/2012;DE 15:00 A 15:59;DOMINGO;MONCLOA-ARAVACA               ;CALLE DEL MARQUES DE URQUIJO - PASEO DE CAMOENS Y VALERO                                            ;0;2012/11712;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;SI;1;COLISIÓN DOBLE                          ;BICICLETA                               ;CONDUCTOR;HOMBRE;HL                                      ;DE 40 A 44 AÑOS
