Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;Longitud;Latitud;Direccion
84;442918,27;4472746,05;23-06-14;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;191;BiciMAD;27;-36.726.923;404.033.695;DOCTOR ESQUERDO, CALLE, DEL, 191
85;442319,29;4474723,43;23-06-14;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;S/N;BiciMAD;27;-36.799.299;404.211.415;MENENDEZ PELAYO, AVENIDA, DE, S/N
86;441180,29;4474447,71;22-09-14;01  CENTRO;01-03 CORTES;PRADO, PASEO, DEL;S/N;BiciMAD;21;-36.933.298;404.185.779;PRADO, PASEO, DEL, S/N
87;442016,68;4475450,66;23-06-14;04  SALAMANCA;04-01 RECOLETOS;AYALA, CALLE, DE;44;BiciMAD;24;-36.835.631;404.276.717;AYALA, CALLE, DE, 44
88;442004,11;4475843,28;23-06-14;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;73;BiciMAD;24;-36.837.471;404.312.077;VELAZQUEZ, CALLE, DE, 73
89;442728,15;4475399,8;23-06-14;04  SALAMANCA;04-02 GOYA;AYALA, CALLE, DE;102;BiciMAD;24;-36.751.716;404.272.628;AYALA, CALLE, DE, 102
90;442000,33;4475163,96;23-06-14;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;18;BiciMAD;24;-36.837.297;404.250.878;GOYA, CALLE, DE, 18
91;442417,66;4475274,35;23-06-14;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;73;BiciMAD;24;-36.788.203;404.261.113;HERMOSILLA, CALLE, DE, 73
92;441767,83;4475291,85;23-06-14;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;45;BiciMAD;24;-36.864.821;404.262.237;CLAUDIO COELLO, CALLE, DE, 45
93;441518,8;4475235,48;23-06-14;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;3;BiciMAD;24;-36.894.124;404.256.984;GOYA, CALLE, DE, 3
94;441407,18;4474977,73;23-06-14;04  SALAMANCA;04-01 RECOLETOS;RECOLETOS, PASEO, DE;S/N;BiciMAD;24;-36.907.044;404.233.686;RECOLETOS, PASEO, DE, S/N
95;441721,55;4474897;23-06-14;04  SALAMANCA;04-01 RECOLETOS;CLAUDIO COELLO, CALLE, DE;19;BiciMAD;24;-36.869.914;404.226.634;CLAUDIO COELLO, CALLE, DE, 19
96;442140,46;4474825,84;23-06-14;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;111;BiciMAD;27;-36.820.471;404.220.516;ALCALA, CALLE, DE, 111
97;442301,64;4474872,66;23-06-14;04  SALAMANCA;04-02 GOYA;MENENDEZ PELAYO, AVENIDA, DE;1;BiciMAD;24;-36.801.515;404.224.846;MENENDEZ PELAYO, AVENIDA, DE, 1
98;442705,5;4475058,99;23-06-14;04  SALAMANCA;04-02 GOYA;FELIPE II, AVENIDA, DE;5;BiciMAD;24;-36.754.079;404.241.911;FELIPE II, AVENIDA, DE, 5
99;442829,62;4475270,48;23-06-14;04  SALAMANCA;04-02 GOYA;ALCANTARA, CALLE, DE;2;BiciMAD;24;-36.739.638;404.261.048;ALCANTARA, CALLE, DE, 2
100;442835,81;4475123,85;23-06-14;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;99;BiciMAD;24;-36.738.777;404.247.843;GOYA, CALLE, DE, 99
101;443212,16;4474936,49;23-06-14;04  SALAMANCA;04-02 GOYA;JORGE JUAN, CALLE, DE;131;BiciMAD;24;-36.694.246;404.231.223;JORGE JUAN, CALLE, DE, 131
102;441967,18;4474727,67;23-06-14;04  SALAMANCA;04-01 RECOLETOS;ALCALA, CALLE, DE;95;BiciMAD;24;-36.840.806;404.211.552;ALCALA, CALLE, DE, 95
103;441766,91;4475752,49;23-06-14;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;4;BiciMAD;24;-36.865.351;404.303.733;JOSE ORTEGA Y GASSET, CALLE, DE, 4
104;441505,58;4475354,07;23-06-14;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;4;BiciMAD;21;-36.895.792;404.267.658;CASTELLANA, PASEO, DE LA, 4
105;441684,37;4475386,27;23-06-14;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;46;BiciMAD;24;-36.874.745;404.270.684;SERRANO, CALLE, DE, 46
106;441648,47;4475149,56;23-06-14;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;32;BiciMAD;36;-3.687.876;404.249.335;SERRANO, CALLE, DE, 32
107;441599,07;4474779,37;23-06-14;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;8;BiciMAD;24;-36.884.243;404.215.952;SERRANO, CALLE, DE, 8
108;443111,6;4475416,83;23-06-14;04  SALAMANCA;04-02 GOYA;MARTIRES CONCEPCIONISTAS, CALLE, DE LOS;2;BiciMAD;24;-3.670.653;404.274.425;MARTIRES CONCEPCIONISTAS, CALLE, DE LOS, 2
109;442191,64;4475721,98;23-06-14;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;32;BiciMAD;24;-36.815.253;404.301.281;JOSE ORTEGA Y GASSET, CALLE, DE, 32
110;438921,15;4476262,7;23-06-14;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;MORET, PASEO, DE;S/N;BiciMAD;24;-37.201.316;404.347.654;MORET, PASEO, DE, S/N
111a;439144,16;4476128,65;23-06-14;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;8;BiciMAD;24;-37.174.896;404.335.742;ARCIPRESTE DE HITA, CALLE, DEL, 8
111b;439120,04;4476174,12;23-06-14;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;10;BiciMAD;24;-37.177.783;40.433.982;ARCIPRESTE DE HITA, CALLE, DEL, 10
112;438517,07;4476028,6;23-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MORET, PASEO, DE;11;BiciMAD;24;-37.248.727;404.326.267;MORET, PASEO, DE, 11
113;438865,35;4475484,09;23-06-14;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;PINTOR ROSALES, PASEO, DEL;S/N;BiciMAD;24;-37.207.145;404.277.472;PINTOR ROSALES, PASEO, DEL, S/N
114;439145,66;4475489,87;23-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;QUINTANA, CALLE, DE;13;BiciMAD;24;-37.174.108;404.278.199;QUINTANA, CALLE, DE, 13
115;439181,48;4475218,76;23-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MARQUES DE CERRALBO, PLAZA, DEL;S/N;BiciMAD;24;-37.169.626;404.253.802;MARQUES DE CERRALBO, PLAZA, DEL, S/N
116a;439616,59;4475074,01;23-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-37.118.199;404.241.079;ESPAÑA, PLAZA, DE, S/N
116b;439610,68;4475084,23;23-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-37.118.905;404.241.996;ESPAÑA, PLAZA, DE, S/N
117;439020,83;4475833,31;26-06-14;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ALTAMIRANO, CALLE, DE;24;BiciMAD;24;-37.189.152;404.309.046;ALTAMIRANO, CALLE, DE, 24
118;441605,27;4472470,69;23-06-14;02  ARGANZUELA;02-06 PALOS DE MOGUER;JUAN MARTIN EL EMPECINADO, CALLE, DE;16;BiciMAD;24;-36.881.393;404.007.979;JUAN MARTIN EL EMPECINADO, CALLE, DE, 16
119;441738,36;4472542,79;23-06-14;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;7;BiciMAD;24;-36.865.777;404.014.567;MENDEZ ALVARO, CALLE, DE, 7
