Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S014478;27/02/2019;19:45;CALL. MELILOTO / CALL. NOPALERA;-;LATINA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07;
2019S013812;27/02/2019;18:40;PASEO. GENERAL MARTINEZ CAMPOS / CALL. MODESTO LAFUENTE;-;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S013751;27/02/2019;10:25;PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;06;
2019S013863;28/02/2019;8:45;GTA. SINTRA / CALL. VIA DE DUBLIN;-;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S013888;28/02/2019;7:30;PASEO. CASTELLANA;29;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;
2019S014004;01/03/2019;20:45;PASEO. PRADO;13;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;06;
2019S013999;01/03/2019;13:00;CALL. MODESTO LAFUENTE;61;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S014016;01/03/2019;12:30;CALL. HACIENDA DE PAVONES / CALL. BRUJAS;-;VICÁLVARO;Otro;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;
2019S014153;01/03/2019;12:10;RONDA. ATOCHA;7;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S014125;02/03/2019;14:50;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA;-;TETUÁN;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;
2019S014113;02/03/2019;13:30;PASEO. MOLINO;1;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;03;
2019S013972;02/03/2019;4:00;PASEO. PRADO;48;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S014196;03/03/2019;23:25;PLAZA. EMPERADOR CARLOS V;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S014242;03/03/2019;20:55;CALL. PRINCESA / CALL. HILARION ESLAVA;-;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Mujer;07;
2019S014256;04/03/2019;16:05;CALL. ARROYO DE LA MEDIA LEGUA / CALL. CORREGIDOR DIEGO CABEZA DE VACA;-;MORATALAZ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07;
2019S014263;04/03/2019;15:45;CALL. ALFONSO XII / CALL. MONTALBAN;-;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S014303;04/03/2019;12:45;PASEO. CASTELLANA;92;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;01;
2019S014289;04/03/2019;11:35;RETIRO;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;05;
2019S014327;05/03/2019;16:15;CALL. TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS;-;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S014416;06/03/2019;17:00;CALL. ALBAIDA;76;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;
