NÈMERO CATµLOGO;CATALOGACI‡N PG97;CATALOGACI‡N A 27/07/18;BIC_BIP;DENOMINACI‡N;OBSERVACIONES;VIA_CLASE_TX;VIA_NOMBRE;APP_NUM;APP_CLF;UTMX_ETRS;UTMY_ETRS
02262;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;INFANTAS;22;;440643,08;4474684,15
17292;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;JORGE JUAN;94;;442845,59;4474947,51
13899;Parcial;Desaparecido por Demolici¢n Total;;;;PASEO;CASTELLANA;62;;441524,46;4476488,44
17206;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;GOYA;80;;442793,17;4475100,66
19373;Parcial;Parcial;;;;CALLE;MANZANARES;7;;439009,79;4473828,36
13406;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;PONZANO;44;;440709,9;4476838,22
19509;Parcial;Desaparecido por Demolici¢n Total;;;;PASEO;IMPERIAL;11;;439121,76;4473415,25
20393;Parcial;Ambiental;;;;CALLE;PALOS DE LA FRONTERA;33;;441096,37;4472741,99
19533;Parcial;Ambiental;;;;RONDA;SEGOVIA;50;;439475,44;4473183,31
18430;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;CARIDAD;8;;442689,82;4472592,59
12578;Parcial;Ambiental;;;;CALLE;GENOVA;27;;441290,64;4475272,84
01808;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;BARBIERI;21;;440789,9;4474802,55
01807;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;BARBIERI;23;;440791,7;4474808,48
02717;Parcial;Descatalogado;;;;CALLE;REQUENA;1;;439580,85;4474285,34
07403;Parcial;Desaparecido por demolici¢n total;;;;CALLE;CARLOS ARNICHES;23;;439904,3;4473230,72
20385;Parcial;Ambiental;;;;PASEO;DELICIAS;42;;441121,09;4472748,93
03303;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;BOLSA;8;;440219,9;4474054,18
06320;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;EMBAJADORES;18;;440080,56;4473475,74
14981;Parcial;Desaparecido por Demolici¢n Total;;;;CALLE;JUAN BRAVO;45;;442588,89;4475999,21
16874;Parcial;Descatalogado;;;;CALLE;MAIQUEZ;56;;442879,11;4474284,84
32032;Parcial;Estructural;;ETSI MONTES - PAB. MADERAS - 1;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32045;Parcial;Estructural;;CMU. VASCO QUIROGA (ANTIGUA CAPILLA);;CALLE;LEONARDO PRIETO CASTRO;4;;438894,91;4478087,79
32043;Parcial;Descatalogado;;ETSI MONTES - INVERNADERO - 4;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32042;Parcial;Descatalogado;;ETSI MONTES - INVERNADERO -3;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32041;Parcial;Descatalogado;;ETSI MONTES - INVERNADERO - 2;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32039;Parcial;Descatalogado;;ESTI MONTES - INVERNADERO - 1;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32036;Parcial;Descatalogado;;ETSI MONTES - PAB. MADERAS - 4;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32035;Parcial;Descatalogado;;ETSI MONTES - PAB. MADERAS -3;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32000;Parcial;Ambiental;;INIA;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
32052;Parcial;Descatalogado;;CC. DE LA EDUCACI‡N - PISCINA;;AVENIDA;MORERAS;1;;439059,7;4478141,67
22035;Parcial;Descatalogado;;;;CALLE;VICENTE CABALLERO;3;;443311,74;4474560,76
32030;Parcial;Estructural;;ETSI MONTES- PAB. HIDRµULICA;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32029;Parcial;Estructural;;ETSI MONTES - PISCIF ACTORIA;;CALLE;LEONARDO PRIETO CASTRO;1;;438861,43;4478085,1
32009;Parcial;Ambiental;;FACULTAD FILOSOF÷A B (GEOGRAF÷A E HISTORIA);;CALLE;PROFESOR ARANGUREN;5;;437751,79;4477866,3
32004;Parcial;Descatalogado;;INIA CASA ANTIGUOS GUARDESES;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
32003;Parcial;Descatalogado;;INIA NA VE CONEJO;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
32002;Parcial;Descatalogado;;INIA NA VES, OVINO, PORCINO Y PIENSOS;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
32001;Parcial;Descatalogado;;INIA NA VE MUFLONES;;AVENIDA;PUERTA DE HIERRO;12;;437114,44;4478215,94
