MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,20;MINTBARRIO,C,10;NOMBRE_BAR,C,50;ESTADO,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;MODELO,C,254
4749615;Situado Aparcabicicletas M-86 Centro Deportivo M86;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;JOSE MARTINEZ DE VELASCO;18;20066362;
4749616;SITUADOS_APARCABICICLETAS - CALLE DE EL LUCERO DEL ALBA 4;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;EL LUCERO DEL ALBA;4;31052246;
4749618;SITUADOS_APARCABICICLETAS - CALLE DE LA PICARA MOLINERA 36;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;LA PICARA MOLINERA;36;31048328;
4749619;SITUADOS_APARCABICICLETAS - CALLE DE LA PICARA MOLINERA 52;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;EL SANTO DE LA ISIDRA;16;31055464;
4749620;SITUADOS_APARCABICICLETAS - CALLE DE LA PICARA MOLINERA 72;17;VILLAVERDE;175;LOS ANGELES;OPERATIVO;03/04/18;CALLE;LA PICARA MOLINERA;72;31043800;
4749626;SITUADOS_APARCABICICLETAS - POLIDEPORTIVO MUNICIPAL IDB EL ESPINILLO 2;17;VILLAVERDE;174;LOS ROSALES;OPERATIVO;03/04/18;CALLE;CONSENSO;5;20150027;
4749630;Situado Aparcabicicletas REAL CANOA NATACIÓN CLUB;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;PEZ VOLADOR;30;11011966;
4749631;Situado Aparcabicicletas REAL CANOA NATACIÓN CLUB;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;PEZ VOLADOR;30;11011966;
4749632;Situado Aparcabicicletas REAL CANOA NATACIÓN CLUB;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;PEZ VOLADOR;30;11011966;
4749633;Situado Aparcabicicletas REAL CANOA NATACIÓN CLUB;03;RETIRO;033;ESTRELLA;OPERATIVO;;CALLE;PEZ VOLADOR;30;11011966;
4780568;SITUADOS_APARCABICICLETAS - ESCUELA DE FÚTBOL DE CARABANCHEL;11;CARABANCHEL;117;ABRANTES;OPERATIVO;18/04/18;CALLE;VIA LUSITANA;19;20024802;
222596;Situado Aparcabicicletas INSTALACIÓN DEPORTIVA MUNICIPAL BÁSICA MONTECARMELO;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;OPERATIVO;;CALLE;MONASTERIO DE EL PAULAR;45;31029294;
194451;Situado Aparcabicicletas C.P ANDRÉS MANJÓN;09;MONCLOA-ARAVACA;093;CIUDAD UNIVERSITARIA;OPERATIVO;;CALLE;MARIA AUXILIADORA;2;31012992;
205615;Situado Aparcabicicletas INSTALACIÓN DEPORTIVA LA CABRERA;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;OPERATIVO;;CALLE;LA CABRERA;33;31044378;
205792;Situado Aparcabicicletas C.P FEDERICO GARCÍA LORCA;08;FUENCARRAL-EL PARDO;084;EL PILAR;OPERATIVO;;CALLE;RIBADAVIA;20;11046264;
